doc_type;count;mean_wc;mean_paras;min_date;max_date;en_share
Press release;49400;616,530;17,330;1985-01-04;2024-01-12;98,280
Speech;22544;1569,110;41,230;1985-02-25;2024-01-09;87,030
Daily news;5564;1998,140;20,850;2001-01-11;2024-01-18;71,040
Statement;3234;587,160;13,560;2014-02-10;2024-01-17;96,230
News;814;418,740;8,610;2014-11-06;2024-01-08;95,700
Questions and answers;716;2185,870;37,400;2019-05-21;2023-12-21;100,000
Commissioners' weekly meeting;105;615,000;11,660;2014-11-05;2021-12-23;99,050
Read-out;25;709,560;16,280;2020-02-19;2023-05-03;100,000
Country insights;21;2535,620;38,760;2019-05-29;2022-10-12;100,000
Infringement decisions;20;5711,550;53,250;2022-04-06;2023-12-21;100,000
Totals/Averages;82443;1694,728;25,893;1985-01-04;2024-01-18;94,733
